BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
 ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0005106017;1;9;0;7; ; ;1;0
 ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0005107535;1;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0005107535;1;9;1;7; ; ;1;0
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;40421977;1;9;1;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;40421977;1;9;0;7; ; ;1;0
 ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0005104537;1;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;0005104537;1;9;1;7; ; ;1;0
 ;8;1;1;Wood;11000;INTER/ANGLE;1;Dual;Pole; ;25/50 sqmm;7;0000362804;1;11;1;4; ;1; ;0
 ;8;1;0;Wood;11000;INTER/ANGLE;2;Dual;Pole; ;25/50 sqmm;7;0000362804;1;11;0;1; ; ;1;0
 ;1;1;0;Wood;400; ;2;LV;Pole; ;50sqmm;1;0000383601;1;9;0;7; ; ;1;0
 ;1;1;0;Wood;400; ;2;LV;Pole; ;50sqmm;1;0000383601;1;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0000473007;1;9;1;7; ; ;1;0
 ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0000473007;1;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0000473129;1;9;1;7; ;1; ;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0000473129;1;9;1;7; ;1; ;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0005087457;1;9;1;7; ; ;1;0
 ;1;1;0;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;0005087457;1;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0005107195;2;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;0005107195;1;9;1;7; ;1; ;0
 ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;40376793;2;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;40376793;1;9;1;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;40462255;1;9;1;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;40462255;1;9;1;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole;1;50 sqmm;1;0000456785;1;9;1;7; ; ; ;1
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole;1;50 sqmm;1;0000456785;1;9;1;7; ; ;2;2
 ;4;1;1;Wood;11000;INTERMEDIATE;1;Dual;Pole;1;25/50 sqmm;7;0000458177;1;11;0;2; ; ;1;1
 ;4;1;1;Wood;11000;T/OFF;1;Dual;Pole; ;25/50 sqmm;7;0000458177;1;11;0;3; ; ; ;2
 ;1;1;1;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0000460520;1;9;0;7; ; ;3;1
 ;1;1;1;Wood;400;T/OFF;2;LV;Pole; ;50 sqmm;1;0000460520;1;9;1;7; ; ; ;2
 ;4;1;1;Wood;11000;T/OFF;1;Dual;Pole; ;25/50 sqmm;7;0000462857;1;11;0;3; ; ; ;1
 ;4;1;1;Wood;11000;INTER/ANGLE;1;Dual;Pole; ;25/50 sqmm;7;0000462857;2;11;0;2; ; ;1;2
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;0000395630;1;9;1;7; ; ;1;1
 ;1;1; ;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0000395630;1;9;0;7; ; ; ;2
 ;1;1; ;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0000395630;1;9;0;7; ; ; ;3
 ;1;1;1;Wood;400;T/OFF;1;LV;Pole; ;50 sqmm;1;0000395630;1;9;1;7; ; ; ;4
 ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;0000395630;1;9;0;7; ; ; ;3
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0000396201;2;9;0;7; ; ;2;1
 ;1;1;1;Wood;400;TERMINAL;2;LV;Pole; ;50 sqmm;1;0000396201;2;9;0;7; ; ;1;2
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;10175385;2;9;0;7; ; ;1;1
 ;1;1;1;Wood;400;T/OFF;1;LV;Pole; ;50 sqmm;1;10175385;2;9;0;7; ; ;1;2
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0005105370;1;9;1;7; ;1;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole;1;50 sqmm;1;0005105370;1;9;1;7; ; ;1;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000412072;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000412072;Out Rigger Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000412072;Out Rigger Stay;9;1 Wire stay;7;1; ; ;0
 ;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole; ;50 sqmm;1;0000;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;1; ; ;0
 ;ABC/3BC;TRUE;YES;Wood;11000;INTERMEDIATE;None;Dual;Pole; ;50/50 sqmm;7;0000;No Stay;11;No Wire stay;2;1; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
