FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
64;May;None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;461138;No Stay;9;1 Wire stay;7;1; ; ;0
65;May;None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;477051;No Stay;9;2 Wire stay;7;3; ; ;0
66;May;None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;477051;No Stay;9;2 Wire stay;7;None; ; ;0
67;May;None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;477051;No Stay;9;No Wire stay;7;None; ; ;0
68;May;None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;477051;No Stay;9;1 Wire stay;7;1; ; ;0
69;May;None;ABC/3BC;TRUE;YES;Wood;11000;INTERMEDIATE;None;Dual;Pole;0;50/50 sqmm;7;449744;No Stay;11;1 Wire stay;4;1; ; ;0
70;May; ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;442893;No Stay;9;1 Wire stay;7;1; ; ;0
71;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;442893;No Stay;9;1 Wire stay;7;None; ; ;0
72;May;N/A;ABC;TRUE;TEMPERED;Wood;400;T/OFF;Strut Pole;LV;Pole;0;50 sqmm;1;476998;No Stay;9;No Wire stay;7;1; ; ;0
73;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;476998;No Stay;9;No Wire stay;7;1; ; ;0
74;May;N/A;ABC;TRUE;TEMPERED;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;476998;No Stay;9;1 Wire stay;7;None; ; ;0
75;May;NONE;ABC;TRUE;YES;Wood;400;INTERMEDIATE;None;LV;Pole;NONE;50 sqmm;1;472262;No Stay;9;No Wire stay;7;None; ; ;0
76;May;NONE;ABC;TRUE;YES;Wood;400;INTERMEDIATE;None;LV;Pole;NONE;50 sqmm;1;472262;No Stay;9;No Wire stay;7;3; ; ;0
77;May;NONE;ABC;TRUE;YES;Wood;400;4WAY;None;LV;Pole;NONE;50 sqmm;1;471109;No Stay;9;No Wire stay;7;None; ; ;0
78;May;NONE;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;NONE;50 sqmm;1;471109;No Stay;9;1 Wire stay;7;None; ; ;0
79;May;NONE;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;NONE;50 sqmm;1;471109;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
80;May;NONE;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;1;50 sqmm;1;469562;No Stay;9;1 Wire stay;7;None; ; ;0
81;May;NONE;AIRDUCT;TRUE;YES;Wood;240;TERMINAL;None;Support;Pole;1;16 sqmm;1;469562;No Stay;9;No Wire stay;7;None; ; ;0
82;May;NONE;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;NONE;50 sqmm;1;469562;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
83;May;NONE;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;NONE;50 sqmm;1;469562;No Stay;9;1 Wire stay;7;None; ; ;0
84;May;NONE;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;1;50 sqmm;1;469562;No Stay;9;1 Wire stay;7;2; ; ;0
85;May; ;1;1;1;Wood;400;INTERMEDIATE;1;LV;Pole;3;50 sqmm;1;5102762;1;9;0;7; ;1; ;0
86;May; ;1;1;1;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;5102762;1;9;0;7; ; ; ;0
87;May; ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;5105838;1;9;0;7; ; ;2;0
88;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;5105838;1;9;1;7; ; ;1;0
89;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;364584;1;9;2;7; ; ;1;0
90;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;364584;2;9;0;7; ; ;1;0
91;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;5106017;1;9;1;7; ; ;1;0
92;May; ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;5106017;1;9;0;7; ; ;1;0
93;May; ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;5107535;1;9;0;7; ; ;1;0
94;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;5107535;1;9;1;7; ; ;1;0
95;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;40421977;1;9;1;7; ; ;1;0
96;May; ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;40421977;1;9;0;7; ; ;1;0
